,SNDK,MU,LITE,WDC,MRNA,STX,CIEN,INTC,DELL,TER,MRVL,COHR,LRCX,AMAT,ECHO,AMD,FIX,VLO,HPE,WBD,GLW,CNC,FLEX,KLAC,MPC,VRT,APA,PANW,FTNT,CAT,KEYS,PSX,NEM,JBHT,TRGP,CRWD,CRL,DDOG,FCX,LLY,ALB,MRK,NTAP,STLD,FDX,PWR,GOOGL,TGT,CASY,GOOG
2017-07-01,,27.420860290527344,62.599998474121094,58.05683135986328,,23.1392822265625,25.75,29.380935668945312,16.384984970092773,33.026649475097656,14.699731826782227,38.099998474121094,14.126480102539062,40.157405853271484,49.21393966674805,13.609999656677246,31.549345016479492,48.46626663208008,10.401651382446289,24.600000381469727,23.085229873657227,39.709999084472656,12.049736022949219,8.05781078338623,42.471336364746094,,39.0687255859375,21.963333129882812,7.381999969482422,94.52810668945312,41.59000015258789,59.065975189208984,29.23831558227539,83.41310119628906,32.904335021972656,,98.19999694824219,,13.167290687561035,72.08858489990234,102.67300415039062,46.19331359863281,34.639976501464844,29.585865020751953,144.36094665527344,33.073951721191406,46.85948944091797,43.18524932861328,100.41915130615234,46.11838912963867
2017-08-01,,31.17513084411621,56.849998474121094,60.205326080322266,,22.135366439819336,21.610000610351562,29.267671585083008,19.102645874023438,34.000553131103516,16.9198055267334,35.849998474121094,14.704082489013672,40.986141204833984,48.865478515625,13.0,32.33209228515625,48.348758697509766,10.728372573852539,22.209999084472656,22.907651901245117,44.42499923706055,12.26073932647705,8.204940795898438,40.093528747558594,,30.667516708374023,22.114999771118164,7.639999866485596,97.4647445678711,40.86000061035156,59.60691452026367,30.15864372253418,91.16903686523438,31.599794387817383,,108.80000305175781,,13.311393737792969,71.34595489501953,103.08087158203125,46.178863525390625,30.842510223388672,28.783767700195312,148.76742553710938,35.23115158081055,47.34220504760742,42.02264404296875,99.16800689697266,46.556026458740234
2017-09-01,,38.35214614868164,54.349998474121094,59.263858795166016,,23.732763290405273,21.969999313354492,31.779664993286133,19.683902740478516,35.6750602722168,16.91036033630371,41.150001525878906,16.436124801635742,47.317543029785156,46.37763214111328,12.75,33.898841857910156,54.61777877807617,11.318827629089355,21.290000915527344,23.831607818603516,48.3849983215332,12.486811637878418,9.28299617767334,42.86836624145508,,36.16303253173828,24.016666412353516,7.168000221252441,103.45413970947266,41.65999984741211,65.15438842773438,29.56357192993164,102.40728759765625,33.535343170166016,,108.0199966430664,,12.64492416381836,75.07604217529297,121.16670227050781,46.636680603027344,34.911224365234375,28.931983947753906,156.90679931640625,36.64315414428711,48.25808334350586,45.475067138671875,102.95902252197266,47.5363883972168
2017-10-01,,43.20832824707031,63.150001525878906,61.23247146606445,,26.451629638671875,21.270000457763672,37.96369934082031,21.10137367248535,41.03255844116211,17.506025314331055,45.20000076293945,18.526159286499023,51.259918212890625,45.34035873413086,10.989999771118164,42.0649528503418,56.009315490722656,10.710949897766113,18.8799991607666,24.938751220703125,46.834999084472656,13.413715362548828,9.53608512878418,45.66611862182617,,32.860069274902344,24.53333282470703,7.881999969482422,113.32588195800781,44.66999816894531,64.77743530273438,28.49957275390625,98.08346557617188,30.071653366088867,,116.29000091552734,,12.5908842086792,71.91642761230469,125.23785400390625,40.12517166137695,35.597904205322266,31.231781005859375,157.0667724609375,36.99614334106445,51.19801330566406,45.498207092285156,108.02072143554688,50.38774490356445
2017-11-01,,41.33607482910156,54.04999923706055,54.09199905395508,,27.589252471923828,21.75,37.64299392700195,19.94649887084961,38.780517578125,21.174043655395508,47.400001525878906,17.083650588989258,48.01690673828125,48.50080871582031,10.890000343322754,40.85441207885742,61.30514907836914,10.73403263092041,19.020000457763672,25.925748825073242,51.04499816894531,13.617181777954102,9.005839347839355,48.181819915771484,,33.22545623779297,24.291667938232422,8.411999702453613,117.79049682617188,43.5,69.9148178100586,29.15373992919922,102.68502807617188,31.44843101501465,,104.19999694824219,,12.536847114562988,74.75526428222656,119.39778137207031,40.25627136230469,45.286746978759766,32.314510345458984,160.9967498779297,37.1628532409668,51.3531379699707,46.63969802856445,113.84744262695312,50.62416076660156
2017-12-01,,40.09763717651367,48.900001525878906,54.89057540893555,,30.38127899169922,20.93000030517578,38.75114059448242,20.721511840820312,40.1220703125,20.40507698059082,46.95000076293945,16.39531707763672,46.51552200317383,48.54132843017578,10.279999732971191,41.52023696899414,65.80889892578125,11.106647491455078,22.3799991607666,25.605587005615234,50.439998626708984,13.55689525604248,9.255118370056152,50.75899887084961,,33.53522491455078,24.156667709350586,8.73799991607666,131.50144958496094,41.599998474121094,72.4875259399414,29.63348388671875,106.23289489746094,35.08600616455078,,109.44999694824219,,17.076047897338867,74.59632110595703,113.96244049072266,41.3332405090332,44.333091735839844,36.33103942871094,173.93603515625,38.34930419921875,52.207061767578125,50.80534744262695,105.54104614257812,51.862735748291016
2018-01-01,,42.632999420166016,46.29999923706055,61.41283416748047,,40.08237838745117,21.280000686645508,40.413333892822266,18.27918815612793,43.92634582519531,22.172815322875977,42.650001525878906,17.058897018432617,48.7994499206543,49.481361389160156,13.739999771118164,40.521480560302734,68.71589660644531,12.684473037719727,25.06999969482422,24.989253997802734,53.619998931884766,13.571967124938965,9.67176342010498,53.29001998901367,,35.831932067871094,26.31166648864746,9.208000183105469,136.47132873535156,46.720001220703125,73.38331604003906,31.995004653930664,111.63788604736328,35.454952239990234,,105.44000244140625,,17.56239891052246,71.93782043457031,99.43753814697266,43.522220611572266,49.45903396606445,38.243202209472656,182.95562744140625,37.74136734008789,58.591453552246094,58.56825256347656,114.42874145507812,57.98575973510742
2018-02-01,,47.5964469909668,61.0,60.07387161254883,,38.775333404541016,23.170000076293945,41.659488677978516,18.939485549926758,43.5937614440918,22.324878692626953,38.5,17.08917999267578,52.49815368652344,47.01782989501953,12.109999656677246,39.0471076965332,65.33450317382812,14.378310203552246,24.31999969482422,23.417654037475586,50.709999084472656,13.639788627624512,10.037774085998535,49.61792755126953,,27.271240234375,28.895000457763672,10.093999862670898,129.63861083984375,47.0099983215332,65.25459289550781,30.170555114746094,109.77316284179688,32.98050308227539,,106.61000061035156,,16.75182342529297,68.53146362304688,89.4928970336914,39.82742691040039,48.695030212402344,38.9592170715332,171.75436401367188,33.77015686035156,54.71086883544922,59.201080322265625,106.11421203613281,54.75375747680664
2018-03-01,,50.843658447265625,63.79999923706055,64.0308609008789,,42.941017150878906,25.899999618530273,44.0175666809082,18.66415023803711,43.89143753051758,20.0145263671875,40.900001525878906,18.141326904296875,50.693214416503906,42.763370513916016,10.050000190734863,39.30802917480469,67.03253936767578,13.61976432800293,21.43000030517578,22.451313018798828,53.435001373291016,12.305953025817871,9.656848907470703,56.62764358520508,,30.729055404663086,30.253332138061523,10.715999603271484,123.56031036376953,52.38999938964844,69.26215362548828,30.96928596496582,108.45850372314453,32.5003776550293,,106.73999786376953,,15.82417106628418,68.84288024902344,82.90966033935547,40.3609504699707,49.611820220947266,37.412654876708984,167.7118377685547,33.6818962097168,51.401214599609375,54.50643539428711,103.71434020996094,51.13862609863281
2018-04-01,,44.83680725097656,50.45000076293945,54.67641067504883,,42.478736877441406,25.75,43.62877655029297,18.29703140258789,31.2549991607666,19.118637084960938,38.099998474121094,16.525074005126953,45.27840042114258,42.57698440551758,10.880000114440918,40.21331024169922,80.15435791015625,13.239276885986328,23.649999618530273,21.758769989013672,54.290000915527344,9.796533584594727,9.012824058532715,58.02183532714844,,32.89720153808594,32.084999084472656,11.071999549865723,121.6377944946289,51.68000030517578,80.3749771118164,31.1436710357666,108.71774291992188,35.37370300292969,,104.19000244140625,,13.736865997314453,72.13509368896484,86.68235778808594,43.62123489379883,53.71739959716797,37.911842346191406,172.66404724121094,31.86787223815918,50.48137283325195,56.99504089355469,91.51728820800781,50.42194747924805
