,NVDA,INTC,F,TSLA,AAPL,PFE,PLTR,T,AMZN,NFLX,AMD,SMCI,MU,BAC,WBD,GOOGL,CMCSA,KVUE,MSFT,HOOD,ORCL,HBAN,VZ,AVGO,MRVL,HPE,CCL,WMT,CSCO,PCG,GOOG,NKE,CMG,UBER,NCLH,NOW,TTD,XOM,PYPL,FCX,KO,META,KEY,SLB,HPQ,CVNA,WFC,RF,KHC,BSX
2017-09-01,4.411286354064941,31.779664993286133,7.458444595336914,22.739999771118164,35.866729736328125,22.36809730529785,,15.70535659790039,48.067501068115234,18.135000228881836,12.75,2.2100000381469727,38.35214614868164,20.68400001525879,21.290000915527344,48.25808334350586,28.258323669433594,,67.73823547363281,,42.309288024902344,9.512059211730957,30.28286361694336,18.997974395751953,16.91036033630371,11.318827629089355,58.10095977783203,22.652454376220703,25.874465942382812,66.92237091064453,47.5363883972168,45.92516326904297,6.156599998474121,,54.04999923706055,23.506000518798828,6.151000022888184,55.226375579833984,63.48023223876953,12.64492416381836,34.335113525390625,169.38253784179688,12.757781982421875,54.41423034667969,14.797947883605957,2.936000108718872,43.12232208251953,10.891292572021484,50.71034240722656,29.170000076293945
2017-10-01,5.103191375732422,37.96369934082031,7.7403059005737305,22.101999282836914,39.33890914916992,21.96709442138672,,13.717333793640137,55.263999938964844,19.64299964904785,10.989999771118164,1.9900000095367432,43.20832824707031,22.357336044311523,18.8799991607666,51.19801330566406,26.569698333740234,,75.64059448242188,,44.71636199951172,9.403038024902344,29.642972946166992,20.671876907348633,17.506025314331055,10.710949897766113,59.73863220214844,25.31079864501953,26.50159454345703,56.779354095458984,50.38774490356445,48.706363677978516,5.438000202178955,,55.75,25.27400016784668,6.5920000076293945,56.1492805480957,71.9369888305664,12.5908842086792,35.07505798339844,178.4925537109375,12.37138843536377,49.921321868896484,15.976751327514648,2.8359999656677246,43.89640808105469,11.070075988769531,50.566463470458984,28.139999389648438
2017-11-01,4.956110954284668,37.64299392700195,7.898012161254883,20.59000015258789,40.13662338256836,22.926563262939453,,14.83021354675293,58.837501525878906,18.757999420166016,10.890000343322754,2.2049999237060547,41.33607482910156,23.09200096130371,19.020000457763672,51.3531379699707,27.6832218170166,,76.92520904541016,,43.09989929199219,9.811867713928223,31.51308822631836,21.770832061767578,21.174043655395508,10.73403263092041,59.46314239501953,28.18657684326172,28.946104049682617,53.30989074707031,50.62416076660156,53.51588439941406,6.087800025939941,,54.15999984741211,24.600000381469727,4.914000034332275,56.62815475463867,75.07978057861328,12.536847114562988,35.201107025146484,175.6376190185547,12.941152572631836,49.0242919921875,15.90261173248291,3.242000102996826,44.46293640136719,11.863861083984375,53.63374710083008,26.280000686645508
2017-12-01,4.778075695037842,38.75114059448242,7.879088401794434,20.75666618347168,39.52471160888672,22.90127182006836,,15.84933090209961,58.4734992980957,19.195999145507812,10.279999732971191,2.0929999351501465,40.09763717651367,24.198650360107422,22.3799991607666,52.207061767578125,29.5341796875,,78.17731475830078,,41.53614807128906,9.997042655944824,32.776329040527344,20.256183624267578,20.40507698059082,11.106647491455078,60.12446212768555,28.778076171875,29.722137451171875,44.06125259399414,51.862735748291016,55.58648681640625,5.780600070953369,,53.25,26.077999114990234,4.572999954223633,56.8661003112793,72.9878921508789,17.076047897338867,35.285709381103516,174.9239044189453,13.752530097961426,52.97562026977539,15.678718566894531,3.8239998817443848,47.7698974609375,12.423930168151855,51.2542839050293,24.790000915527344
2018-01-01,6.06951379776001,40.413333892822266,7.090641975402832,23.62066650390625,39.10430145263672,23.41974449157715,,15.535265922546387,72.54450225830078,27.030000686645508,13.739999771118164,2.2829999923706055,42.632999420166016,26.231595993041992,25.06999969482422,58.591453552246094,31.487228393554688,,86.83223724365234,,45.49903869628906,11.10935115814209,33.863643646240234,19.556795120239258,22.172815322875977,12.684473037719727,64.87136840820312,31.065759658813477,32.47693634033203,41.7024040222168,57.98575973510742,60.6252555847168,6.495200157165527,,60.7400016784668,29.77400016784668,4.8480000495910645,59.354496002197266,84.58743286132812,17.56239891052246,36.600852966308594,185.26307678222656,14.591184616088867,57.84159851074219,17.402559280395508,3.818000078201294,51.793373107910156,13.82593822479248,51.669525146484375,27.959999084472656
2018-02-01,5.979394912719727,41.659488677978516,6.857952117919922,22.87066650390625,41.7706298828125,23.170873641967773,,15.058219909667969,75.62249755859375,29.13800048828125,12.109999656677246,1.809999942779541,47.5964469909668,26.313570022583008,24.31999969482422,54.71086883544922,26.80819320678711,,86.10149383544922,,44.68764877319336,10.779778480529785,29.899192810058594,19.43300437927246,22.324878692626953,14.378310203552246,61.00820541381836,26.231035232543945,35.010047912597656,40.3853874206543,54.75375747680664,59.56772994995117,6.368199825286865,,56.900001525878906,32.20199966430664,5.625999927520752,52.021541595458984,78.72817993164062,16.75182342529297,33.23994064331055,176.76773071289062,14.479588508605957,51.964073181152344,17.45479393005371,4.007999897003174,46.26472854614258,13.955351829528809,44.1949577331543,27.260000228881836
2018-03-01,5.722183704376221,44.0175666809082,7.161741256713867,17.742000579833984,39.345802307128906,22.647598266601562,,14.788578987121582,72.36699676513672,29.53499984741211,10.050000190734863,1.7000000476837158,50.843658447265625,24.676170349121094,21.43000030517578,51.401214599609375,25.297876358032227,,83.80596923828125,,40.348548889160156,10.439404487609863,29.949298858642578,18.852909088134766,20.0145263671875,13.61976432800293,59.79551315307617,26.08254051208496,33.53239440917969,43.17668533325195,51.13862609863281,59.222023010253906,6.462200164794922,,52.970001220703125,33.09000015258789,4.961999893188477,51.24541091918945,75.21858215332031,15.82417106628418,33.69630432128906,158.39901733398438,13.396876335144043,51.283260345458984,16.453784942626953,4.585999965667725,41.51231384277344,13.419380187988281,41.4414176940918,27.31999969482422
2018-04-01,5.556882858276367,43.62877655029297,7.3626389503479,19.593332290649414,38.75485610961914,23.362314224243164,,13.821643829345703,78.30650329589844,31.246000289916992,10.880000114440918,1.7699999809265137,44.83680725097656,24.618576049804688,23.649999618530273,50.48137283325195,23.372175216674805,,85.8719482421875,,40.444740295410156,10.3080472946167,31.296424865722656,18.354488372802734,19.118637084960938,13.239276885986328,57.49779510498047,25.933025360107422,34.90531539916992,45.30947494506836,50.42194747924805,60.960174560546875,8.46660041809082,,53.470001220703125,33.22800064086914,5.117000102996826,53.402095794677734,73.96939086914062,13.736865997314453,33.52560043334961,170.5027313232422,13.650423049926758,54.27570343017578,16.131011962890625,5.242000102996826,41.155887603759766,13.506053924560547,37.5095100402832,28.719999313354492
2018-05-01,6.235024929046631,46.9238166809082,7.565701007843018,18.98200035095215,43.991554260253906,23.152191162109375,,13.661023139953613,81.48100280761719,35.15999984741211,13.729999542236328,2.4100000858306885,56.15814971923828,23.992124557495117,21.09000015258789,54.51659393310547,23.21581268310547,,91.1502456665039,,41.374610900878906,10.280393600463867,30.23101806640625,20.166574478149414,20.52918815612793,11.833818435668945,57.2289924621582,24.34995460510254,33.66010284423828,42.58697509765625,53.77538299560547,63.99972152709961,8.603599548339844,,52.34000015258789,35.52199935913086,8.553000450134277,56.36474609375,81.36534118652344,15.263185501098633,33.3626708984375,190.11056518554688,13.40017032623291,54.3627815246582,16.53635025024414,5.769999980926514,43.085750579833984,13.173818588256836,38.648738861083984,30.389999389648438
2018-06-01,5.857003211975098,42.25693130493164,7.251281261444092,22.863332748413086,43.57722473144531,23.377721786499023,,13.572263717651367,84.98999786376953,39.143001556396484,14.989999771118164,2.365000009536743,51.13619613647461,23.28987693786621,27.5,55.963260650634766,24.429468154907227,,90.93814849853516,,39.01894760131836,10.27766227722168,31.905229568481445,19.672456741333008,20.433881759643555,11.425216674804688,52.662071228027344,25.267425537109375,33.91231155395508,41.83017349243164,55.29498291015625,71.22203826904297,8.627400398254395,,47.25,34.49399948120117,9.380000114440918,57.398536682128906,82.55503845214844,15.588319778442383,34.3330078125,192.62843322753906,13.469098091125488,53.451412200927734,17.13094139099121,8.319999694824219,44.24288558959961,12.901905059814453,42.239288330078125,32.70000076293945
