,NVDA,AAPL,GOOGL,GOOG,MSFT,AMZN,AVGO,TSLA,META,LLY,MU,BRK-B,JPM,WMT,AMD,V,XOM,JNJ,MA,INTC,ABBV,CSCO,PLTR,BAC,ORCL,COST,CVX,LRCX,KO,AMAT,CAT,MRK,GE,UNH,MS,PG,HD,NFLX,GS,PM,PANW,DELL,RTX,GEV,WFC,TXN,KLAC,ANET,AMGN,SNDK
2021-07-01,19.431787490844727,142.05477905273438,133.5423583984375,134.03921508789062,272.91339111328125,166.37950134277344,44.18999099731445,229.06666564941406,353.1983642578125,231.94618225097656,75.65115356445312,278.2900085449219,133.93162536621094,44.472232818603516,106.19000244140625,236.90748596191406,47.59394073486328,149.6079864501953,374.69207763671875,49.15995788574219,96.80116271972656,48.14603805541992,21.709999084472656,33.9394645690918,81.46005249023438,407.23388671875,82.20883178710938,60.50815963745117,49.1888427734375,134.01473999023438,189.7129669189453,65.7682113647461,63.01881408691406,377.5961608886719,81.85176849365234,125.08479309082031,289.78521728515625,51.75699996948242,332.110595703125,79.2341537475586,66.50833129882812,44.485923767089844,77.63066864013672,,40.49580001831055,165.4445343017578,33.05766677856445,23.774375915527344,205.15316772460938,
2021-08-01,22.31177520751953,148.09059143066406,143.42572021484375,144.19070434570312,289.7225036621094,173.5395050048828,45.26514434814453,245.24000549316406,376.07745361328125,246.82882690429688,71.86760711669922,285.7699890136719,141.14089965820312,46.37373733520508,110.72000122070312,220.58323669433594,45.754669189453125,151.30979919433594,336.1394348144531,49.792564392089844,100.5300521850586,51.319847106933594,26.34000015258789,36.938804626464844,83.32032775878906,431.6553649902344,79.19264221191406,57.41444778442383,48.56783676147461,129.65438842773438,193.49346923828125,65.2719955444336,64.11982727050781,381.3059997558594,89.05790710449219,125.22554016113281,288.01043701171875,56.91899871826172,368.1134033203125,81.53780364990234,76.83999633789062,44.872676849365234,76.12959289550781,,40.45957946777344,165.69625854492188,32.382572174072266,23.095624923706055,193.03421020507812,
2021-09-01,20.64822769165039,138.01499938964844,132.50106811523438,132.10079956054688,270.5662841796875,164.2519989013672,44.47072982788086,258.49334716796875,336.4355773925781,220.79754638671875,69.31198120117188,272.94000244140625,144.4411163330078,43.64328384399414,102.9000015258789,214.46929931640625,49.36333465576172,141.14556884765625,337.5470886230469,49.07413864135742,89.78453826904297,47.32867431640625,24.040000915527344,37.7505989074707,81.45067596435547,425.836669921875,83.02257537841797,54.16099548339844,45.597354888916016,123.51371765136719,176.15089416503906,64.83831024169922,62.720821380615234,359.1766662597656,82.9859848022461,122.94774627685547,291.3207092285156,61.034000396728516,336.5285339355469,75.96484375,79.83333587646484,47.902252197265625,77.2073974609375,,41.08816909790039,166.82456970214844,31.86344337463379,21.477500915527344,182.01004028320312,
2021-10-01,25.48336410522461,146.11061096191406,146.74478149414062,146.97462463378906,318.2647705078125,168.6215057373047,48.757049560546875,371.3333435058594,320.7533264160156,243.45545959472656,67.47615814208984,287.010009765625,150.81532287597656,46.78704833984375,120.2300033569336,203.8974609375,54.10498046875,142.35166931152344,326.153076171875,45.13199996948242,96.6015625,48.99653244018555,25.8799991607666,42.49055480957031,89.99842071533203,466.57257080078125,93.6939926147461,53.630001068115234,48.98652267456055,131.11280822753906,188.23240661621094,76.00870513916016,63.840919494628906,423.2740173339844,88.25724792480469,126.53276062011719,329.9078063964844,69.03099822998047,367.970947265625,75.76448822021484,84.84833526611328,50.641746520996094,79.8121337890625,,45.29349136352539,163.72145080566406,35.506900787353516,25.60562515258789,177.14845275878906,
2021-11-01,32.56911087036133,161.46414184570312,140.65032958984375,141.20701599121094,317.856689453125,175.35350036621094,50.77548599243164,381.586669921875,321.6355285644531,237.8032989501953,82.02603149414062,276.69000244140625,140.9971466064453,44.03469467163086,158.3699951171875,186.89508056640625,50.89426803588867,137.17018127441406,306.1282043457031,45.63134765625,97.115478515625,48.00732421875,20.649999618530273,39.54698181152344,85.12044525146484,511.982666015625,93.43582916259766,64.6953353881836,45.933441162109375,141.45372009277344,178.3968048095703,64.6656723022461,57.82636642456055,408.3367004394531,81.42198944091797,127.93972778320312,355.5290832519531,64.19000244140625,339.1635437011719,68.87245178222656,91.15666961669922,51.298004150390625,73.10694885253906,,42.464393615722656,167.99176025390625,38.975181579589844,31.014999389648438,171.65328979492188,
2021-12-01,29.318374633789062,173.44944763183594,143.578857421875,143.4150390625,323.3660583496094,166.7169952392578,61.41209030151367,352.260009765625,333.4220275878906,264.82025146484375,91.05797576904297,299.0,140.57102966308594,45.48838424682617,143.89999389648438,209.02113342285156,52.04244613647461,150.4887237548828,349.2886962890625,47.764522552490234,114.06517791748047,55.47454833984375,18.209999084472656,39.75520324707031,81.80907440185547,538.8642578125,97.14445495605469,68.58538055419922,51.85355758666992,151.22735595703125,190.75128173828125,66.78675079345703,57.56016540527344,463.0834655761719,84.29004669189453,144.7530059814453,369.8319091796875,60.24399948120117,342.3495178222656,77.16991424560547,92.7933349609375,51.02546691894531,77.75065612792969,,42.64214324951172,164.58595275878906,41.0742073059082,35.9375,194.1715087890625,
2022-01-01,24.408893585205078,170.72415161132812,134.11428833007812,134.51254272460938,299.0020751953125,149.57350158691406,54.07209777832031,312.239990234375,310.5330505371094,235.26263427734375,80.42233276367188,313.0199890136719,132.7064666748047,43.95418930053711,114.25,218.14549255371094,64.60441589355469,151.5619354248047,376.086181640625,45.278907775878906,116.51705169677734,49.02109146118164,13.710000038146973,41.2296028137207,76.41657257080078,479.4722595214844,108.71733856201172,56.26069259643555,53.42991638183594,132.7947998046875,186.874267578125,71.00448608398438,57.56624984741211,435.8133544921875,88.66475677490234,142.7498321533203,327.0304260253906,42.7140007019043,317.408203125,83.54660034179688,86.23332977294922,51.60686111450195,81.4819107055664,,47.81465530395508,157.78195190429688,37.174102783203125,31.077499389648438,196.04443359375,
2022-02-01,24.308204650878906,161.49380493164062,133.8699493408203,133.71212768554688,287.8755187988281,153.56300354003906,54.216087341308594,290.1433410644531,209.19296264648438,240.6348114013672,86.86434936523438,321.45001220703125,126.63375091552734,42.49230194091797,123.33999633789062,208.7911834716797,67.43605041503906,145.70004272460938,351.20709228515625,44.57715606689453,125.77780151367188,49.1091423034668,11.850000381469727,39.496070861816406,71.52991485595703,493.6220703125,120.45734405517578,53.53597640991211,54.50710678100586,129.20248413085938,173.91285705566406,66.73445129394531,58.193824768066406,438.8566589355469,78.46147918701172,138.69287109375,281.4486389160156,39.45199966430664,305.4253234863281,82.10066986083984,99.04166412353516,46.292640686035156,93.29988861083984,,47.645469665527344,149.43092346191406,33.37060546875,30.6825008392334,197.15084838867188,
2022-03-01,27.2047061920166,170.77540588378906,137.84523010253906,138.42901611328125,297.04779052734375,162.99749755859375,58.507476806640625,359.20001220703125,220.42433166503906,275.6975402832031,76.14070129394531,352.9100036621094,121.73988342285156,46.99932098388672,109.33999633789062,214.24961853027344,71.02198028564453,156.90841674804688,347.858642578125,46.31538391113281,137.98361206054688,49.100337982177734,13.729999542236328,37.01329803466797,77.89482879638672,547.428466796875,136.2088165283203,51.43640899658203,54.712554931640625,126.891845703125,206.5852813720703,72.13721466064453,55.800636291503906,471.69610595703125,75.57344055175781,135.94374084472656,268.3546142578125,37.45899963378906,297.1525573730469,77.34117126464844,103.75166320800781,45.593170166015625,90.00212860107422,,43.26211929321289,161.28939819335938,35.05207443237305,34.744998931884766,210.5043487548828,
2022-04-01,18.491744995117188,154.1878662109375,113.10655975341797,113.96174621582031,267.3824768066406,124.28150177001953,51.51181411743164,290.2533264160156,198.72488403320312,281.2428283691406,66.74964904785156,322.8299865722656,107.38395690917969,48.283817291259766,85.5199966430664,205.90260314941406,73.30941009521484,159.76806640625,354.18975830078125,40.736228942871094,126.08280181884766,43.42546463012695,10.399999618530273,32.03868103027344,69.38047790527344,506.299072265625,131.055908203125,44.56208419799805,57.01578140258789,106.24063110351562,196.1360626220703,77.97501373291016,45.463802337646484,470.3826904296875,70.28337860107422,143.64019775390625,269.3138427734375,19.035999298095703,274.9989013671875,82.33039093017578,93.54666900634766,43.00355911254883,86.22290802001953,,38.95018768310547,149.65948486328125,30.570730209350586,28.892499923706055,202.99191284179688,
